pc25u	pc25c	ap24u	ap24c	pc25pcsl	ap24pcsl	pc25uname	ap24uname	oid
12A4D	𒩍	12B64	𒭤	ŠEN~c	ŠEN~c	SHEN-C	SHEN-C	o0901973
12A4E	𒩎	12B65	𒭥	ŠEN~c@t	ŠEN~c@t	SHEN-C TENU	SHEN-C TENU	o0901981
12A4F	𒩏	12B67	𒭧	|ŠEN~d×A|	|ŠEN~d×A|	SHEN-D TIMES A	SHEN-D TIMES A	o0901979
12A50	𒩐	12B6A	𒭪	ŠEN~e	ŠEN~e	SHEN-E	SHEN-E	o0901977
12A51	𒩑	12B6B	𒭫	ŠENNUR~a	ŠENNUR~a	SHENNUR-A	SHENNUR-A	o0901983
12A52	𒩒	12B6C	𒭬	ŠENNUR~b	ŠENNUR~b	SHENNUR-B	SHENNUR-B	o0901984
12A53	𒩓	12B6D	𒭭	ŠEŠ~a	ŠEŠ~a	SHESH-A	SHESH-A	o0901986
12A54	𒩔	12B6F	𒭯	ŠEŠ~b	ŠEŠ~b	SHESH-B	SHESH-B	o0901988
12A55	𒩕	12B70	𒭰	ŠIDIM	ŠIDIM	SHIDIM	SHIDIM	o0901990
12A56	𒩖	12B72	𒭲	ŠIM~a	ŠIM~a	SHIM-A	SHIM-A	o0901993
12A57	𒩗	12B75	𒭵	ŠIM~b	ŠIM~b	SHIM-B	SHIM-B	o0901996
12A58	𒩘	12B76	𒭶	ŠIR~a	ŠIR~a	SHIR-A	SHIR-A	o0901998
12A59	𒩙	12B78	𒭸	ŠIR~b	ŠIR~b	SHIR-B	SHIR-B	o0902000
12A5A	𒩚	12B7B	𒭻	ŠITA~a1	ŠITA~a1	SHITA-A1	SHITA-A1	o0902004
12A5B	𒩛	12B7C	𒭼	|ŠITA~a1×KAK~a|	|ŠITA~a1×KAK~a|	SHITA-A1 TIMES KAK-A	SHITA-A1 TIMES KAK-A	o0902014
12A5C	𒩜	12B7D	𒭽	|ŠITA~a1×ŠU|	|ŠITA~a1×ŠU|	SHITA-A1 TIMES SHU	SHITA-A1 TIMES SHU	o0902020
12A5D	𒩝	12B82	𒮂	ŠITA~a2	ŠITA~a2	SHITA-A2	SHITA-A2	o0902005
12A5E	𒩞	12B83	𒮃	ŠITA~a3	ŠITA~a3	SHITA-A3	SHITA-A3	o0902006
12A5F	𒩟	12B84	𒮄	ŠITA~b1	ŠITA~b1	SHITA-B1	SHITA-B1	o0902007
12A60	𒩠	12B86	𒮆	ŠITA~b2	ŠITA~b2	SHITA-B2	SHITA-B2	o0902008
12A61	𒩡	12B87	𒮇	|ŠITA~b2@g×HI@g~a|	|ŠITA~b2@g×HI@g~a|	SHITA-B2 GUNU TIMES HI GUNU-A	SHITA-B2 GUNU TIMES HI GUNU-A	o0902012
12A62	𒩢	12B88	𒮈	ŠITA~b3	ŠITA~b3	SHITA-B3	SHITA-B3	o0902009
12A63	𒩣	12B89	𒮉	|ŠITA~b3×NAM₂|	|ŠITA~b3×NAM₂|	SHITA-B3 TIMES NAM2	SHITA-B3 TIMES NAM2	o0902018
12A64	𒩤	12B8A	𒮊	ŠITA@g~a	ŠITA~b3@g	SHITA GUNU-A	SHITA-B3 GUNU	o0902028
12A65	𒩥	12B8C	𒮌	|ŠITA@g~a×1(N06)|	|ŠITA~b3@g×1(N06)|	SHITA GUNU-A TIMES ONE-N6	SHITA-B3 GUNU TIMES ONE-N6	o0902032
12A66	𒩦	12B81	𒮁	ŠITA@g~b	ŠITA~a1@g	SHITA GUNU-B	SHITA-A1 GUNU	o0902026
12A67	𒩧	12B8D	𒮍	ŠU	ŠU	SHU	SHU	o0902033
12A68	𒩨	12B8E	𒮎	|ŠU×1(N58)|	|ŠU×1(N58)|	SHU TIMES ONE-N58	SHU TIMES ONE-N58	o0902034
12A69	𒩩	12B8F	𒮏	|ŠU&ŠU|	|ŠU&ŠU|	SHU OVER SHU	SHU OVER SHU	o0902035
12A6A	𒩪	12B90	𒮐	ŠU@g	ŠU@g	SHU GUNU	SHU GUNU	o0902036
12A6B	𒩫	F3090	󳂐	ŠU₂		SHU2		o0902038
12A6C	𒩬	F3013	󳀓	|ŠU₂×1(N24)|		SHU2 TIMES ONE-N24		o0902057
12A6D	𒩭	12B9D	𒮝	ŠU₁₂	ŠU₁₂	SHU12	SHU12	o0902059
12A6E	𒩮	12B9E	𒮞	ŠUBUR	ŠUBUR	SHUBUR	SHUBUR	o0902060
12A6F	𒩯	12B9F	𒮟	ŠUM	ŠUM	SHUM	SHUM	o0902061
12A70	𒩰	F3017	󳀗	|ŠUR₂×1(N58)|		SHUR2 TIMES ONE-N58		o0902066
12A71	𒩱	12BA0	𒮠	ŠUR₂~a	ŠUR₂~a	SHUR2-A	SHUR2-A	o0902063
12A72	𒩲	12BA1	𒮡	ŠUR₂~b	ŠUR₂~b	SHUR2-B	SHUR2-B	o0902064
12A73	𒩳	12BA2	𒮢	ŠURUPPAK~a	ŠURUPPAK~a	SHURUPPAK-A	SHURUPPAK-A	o0902068
12A74	𒩴	12BA4	𒮤	ŠURUPPAK~b	ŠURUPPAK~b	SHURUPPAK-B	SHURUPPAK-B	o0902070
12A75	𒩵	12BA6	𒮦	TA~a	TA~a	TA-A	TA-A	o0902074
12A76	𒩶	12BA8	𒮨	TA~c	TA~c	TA-C	TA-C	o0902076
12A77	𒩷	12BA9	𒮩	TA~d	TA~d	TA-D	TA-D	o0902077
12A78	𒩸	12BAB	𒮫	TA~e	TA~e	TA-E	TA-E	o0902078
12A79	𒩹	12BAC	𒮬	TAG~a1	TAG~a1	TAG-A1	TAG-A1	o0902083
12A7A	𒩺	12BAD	𒮭	TAG~a1@t	TAG~a1@t	TAG-A1 TENU	TAG-A1 TENU	o0902092
12A7B	𒩻	12BAE	𒮮	TAG~a2	TAG~a2	TAG-A2	TAG-A2	o0902084
12A7C	𒩼	12BAF	𒮯	TAG~a3	TAG~a3	TAG-A3	TAG-A3	o0902085
12A7D	𒩽	12BB0	𒮰	TAG~a4	TAG~a4	TAG-A4	TAG-A4	o0902086
12A7E	𒩾	12BB1	𒮱	TAG~b	TAG~b	TAG-B	TAG-B	o0902087
12A7F	𒩿	12BB2	𒮲	TAG~c	TAG~c	TAG-C	TAG-C	o0902088
12A80	𒪀	12BB3	𒮳	TAG~d	TAG~d	TAG-D	TAG-D	o0902089
12A81	𒪁	12BB4	𒮴	TAK₄~a	TAK₄~a	TAK4-A	TAK4-A	o0902094
12A82	𒪂	12BB5	𒮵	TAK₄~a@n	TAK₄~a@n	TAK4-A NUTILLU	TAK4-A NUTILLU	o0902098
12A83	𒪃	12BB7	𒮷	TAK₄~c	TAK₄~c	TAK4-C	TAK4-C	o0902096
12A84	𒪄	12BB8	𒮸	TAR~a	TAR~a	TAR-A	TAR-A	o0902100
12A85	𒪅	12BB9	𒮹	TE	TE	TE	TE	o0902102
12A86	𒪆	12BBA	𒮺	TI	TI	TI	TI	o0902103
12A87	𒪇	12BBB	𒮻	TI@g	TI@g	TI GUNU	TI GUNU	o0902105
12A88	𒪈	12BBC	𒮼	TI@r	TI@r	TI REVERSED	TI REVERSED	o0902106
12A89	𒪉	12BBD	𒮽	TI@t	TI@t	TI TENU	TI TENU	o0902107
12A8A	𒪊	12BBF	𒮿	TIDNUM	TIDNUM	TIDNUM	TIDNUM	o0902108
12A8B	𒪋	12BC0	𒯀	TILLA₂	TILLA₂	TILLA2	TILLA2	o0902109
12A8C	𒪌	12BC1	𒯁	TU~a	TU~a	TU-A	TU-A	o0902111
12A8D	𒪍	12BC2	𒯂	TU~b	TU~b	TU-B	TU-B	o0902112
12A8E	𒪎	12BC3	𒯃	TU~c	TU~c	TU-C	TU-C	o0902114
12A8F	𒪏	12BC4	𒯄	TUG₂~a	TUG₂~a	TUG2-A	TUG2-A	o0902116
12A90	𒪐	12BC6	𒯆	TUG₂~a@g	TUG₂~a@g	TUG2-A GUNU	TUG2-A GUNU	o0902123
12A91	𒪑	12BC8	𒯈	TUG₂~b	TUG₂~b	TUG2-B	TUG2-B	o0902117
12A92	𒪒	12BC9	𒯉	TUG₂~c	TUG₂~c	TUG2-C	TUG2-C	o0902118
12A93	𒪓	12BCB	𒯋	TUM~a	TUM~a	TUM-A	TUM-A	o0902128
12A94	𒪔	12BCC	𒯌	TUM~a@g	TUM~a@g	TUM-A GUNU	TUM-A GUNU	o0902133
12A95	𒪕	12BCD	𒯍	TUM~b	TUM~b	TUM-B	TUM-B	o0902129
12A96	𒪖	12BCE	𒯎	TUM~c	TUM~c	TUM-C	TUM-C	o0902130
12A97	𒪗	12BCF	𒯏	TUM~d	TUM~d	TUM-D	TUM-D	o0902131
12A98	𒪘	12BD0	𒯐	TUN₃~a	TUN₃~a	TUN3-A	TUN3-A	o0902136
12A99	𒪙	12BD1	𒯑	TUN₃~b	TUN₃~b	TUN3-B	TUN3-B	o0902137
12A9A	𒪚	12BD2	𒯒	TUN₃~c	TUN₃~c	TUN3-C	TUN3-C	o0902138
12A9B	𒪛	12BD3	𒯓	TUR	TUR	TUR	TUR	o0902139
12A9C	𒪜	12BD4	𒯔	TUR@g	TUR@g	TUR GUNU	TUR GUNU	o0902144
12A9D	𒪝	12BD8	𒯘	TUR₃~a	TUR₃~a	TUR3-A	TUR3-A	o0902146
12A9E	𒪞	12BDA	𒯚	TUR₃~b	TUR₃~b	TUR3-B	TUR3-B	o0902147
12A9F	𒪟	12BDB	𒯛	TUR₃~c	TUR₃~c	TUR3-C	TUR3-C	o0902148
12AA0	𒪠	12BDC	𒯜	U₂~a	U₂~a	U2-A	U2-A	o0902156
12AA1	𒪡	12BDD	𒯝	U₂~b	U₂~b	U2-B	U2-B	o0902157
12AA2	𒪢	12BE0	𒯠	U₂~c	U₂~c	U2-C	U2-C	o0902160
12AA3	𒪣	12BE1	𒯡	U₄	U₄	U4	U4	o0902161
12AA4	𒪤	12BF3	𒯳	|U₄×1(N01)|	|U₄×1(N01)|	U4 TIMES ONE-N1	U4 TIMES ONE-N1	o0902178
12AA5	𒪥	12BF5	𒯵	|U₄×2(N01)|	|U₄×2(N01)|	U4 TIMES TWO-N1	U4 TIMES TWO-N1	o0902182
12AA6	𒪦	12BF9	𒯹	|U₄×3(N01)|	|U₄×3(N01)|	U4 TIMES THREE-N1	U4 TIMES THREE-N1	o0902186
12AA7	𒪧	12BFB	𒯻	|U₄×4(N01)|	|U₄×4(N01)|	U4 TIMES FOUR-N1	U4 TIMES FOUR-N1	o0902188
12AA8	𒪨	12BFD	𒯽	|U₄×5(N01)|	|U₄×5(N01)|	U4 TIMES FIVE-N1	U4 TIMES FIVE-N1	o0902190
12AA9	𒪩	12BFF	𒯿	|U₄×6(N01)|	|U₄×6(N01)|	U4 TIMES SIX-N1	U4 TIMES SIX-N1	o0902192
12AAA	𒪪	12C00	𒰀	|U₄×8(N01)|	|U₄×8(N01)|	U4 TIMES EIGHT-N1	U4 TIMES EIGHT-N1	o0902193
12AAB	𒪫	12C03	𒰃	|U₄×1(N14)|	|U₄×1(N14)|	U4 TIMES ONE-N14	U4 TIMES ONE-N14	o0902196
12AAC	𒪬	F3008	󳀈	|U₄×(1(N14).1(N01))|		U4 TIMES ONE-N14 PLUS ONE-N1		o0902197
12AAD	𒪭	12C04	𒰄	|U₄×(1(N14).2(N01))|	|U₄×(1(N14).2(N01))|	U4 TIMES ONE-N14 PLUS TWO-N1	U4 TIMES ONE-N14 PLUS TWO-N1	o0902198
12AAE	𒪮	12C05	𒰅	|U₄×(1(N14).4(N01))|	|U₄×(1(N14).4(N01))|	U4 TIMES ONE-N14 PLUS FOUR-N1	U4 TIMES ONE-N14 PLUS FOUR-N1	o0902200
12AAF	𒪯	12C06	𒰆	|U₄×(1(N14).8(N01))|	|U₄×(1(N14).8(N01))|	U4 TIMES ONE-N14 PLUS EIGHT-N1	U4 TIMES ONE-N14 PLUS EIGHT-N1	o0902201
12AB0	𒪰	12C08	𒰈	|U₄×(2(N14).4(N01))|	|U₄×(2(N14).4(N01))|	U4 TIMES TWO-N14 PLUS FOUR-N1	U4 TIMES TWO-N14 PLUS FOUR-N1	o0902203
12AB1	𒪱	12C09	𒰉	|U₄×(3(N14).2(N01))|	|U₄×(3(N14).2(N01))|	U4 TIMES THREE-N14 PLUS TWO-N1	U4 TIMES THREE-N14 PLUS TWO-N1	o0902204
12AB2	𒪲	12C0A	𒰊	|U₄×(3(N14).7(N01))|	|U₄×(3(N14).7(N01))|	U4 TIMES THREE-N14 PLUS SEVEN-N1	U4 TIMES THREE-N14 PLUS SEVEN-N1	o0902205
12AB3	𒪳	12C0B	𒰋	|U₄×1(N57)|	|U₄×1(N57)|	U4 TIMES ONE-N57	U4 TIMES ONE-N57	o0902206
12AB4	𒪴	12C0C	𒰌	|U₄×2(N57)|	|U₄×2(N57)|	U4 TIMES TWO-N57	U4 TIMES TWO-N57	o0902207
12AB5	𒪵	12C0D	𒰍	|U₄×3(N57)|	|U₄×3(N57)|	U4 TIMES THREE-N57	U4 TIMES THREE-N57	o0902208
12AB6	𒪶	12C0E	𒰎	|U₄×4(N57)|	|U₄×4(N57)|	U4 TIMES FOUR-N57	U4 TIMES FOUR-N57	o0902209
12AB7	𒪷	12C0F	𒰏	|U₄×5(N57)|	|U₄×5(N57)|	U4 TIMES FIVE-N57	U4 TIMES FIVE-N57	o0902210
12AB8	𒪸	12C10	𒰐	|U₄×6(N57)|	|U₄×6(N57)|	U4 TIMES SIX-N57	U4 TIMES SIX-N57	o0902211
12AB9	𒪹	12C11	𒰑	|U₄×7(N57)|	|U₄×7(N57)|	U4 TIMES SEVEN-N57	U4 TIMES SEVEN-N57	o0902212
12ABA	𒪺	12C12	𒰒	|U₄×8(N57)|	|U₄×8(N57)|	U4 TIMES EIGHT-N57	U4 TIMES EIGHT-N57	o0902213
12ABB	𒪻	12C13	𒰓	|U₄×10(N57)|	|U₄×10(N57)|	U4 TIMES TEN-N57	U4 TIMES TEN-N57	o0902214
12ABC	𒪼	12C14	𒰔	|U₄×1(N58@t)|	|U₄×1(N58@t)|	U4 TIMES ONE-N58 TENU	U4 TIMES ONE-N58 TENU	o0902215
12ABD	𒪽	12C15	𒰕	U₄@t	U₄@t	U4 TENU	U4 TENU	o0902226
12ABE	𒪾	12C16	𒰖	U₈	U₈	U8	U8	o0902220
12ABF	𒪿	12C17	𒰗	|U₈×TAR~b|	|U₈×TAR~b|	U8 TIMES TAR-B	U8 TIMES TAR-B	o0902225
12AC0	𒫀	12C1B	𒰛	UB	UB	UB	UB	o0902227
12AC1	𒫁	12C1C	𒰜	UBI~a	UBI~a	UBI-A	UBI-A	o0902229
12AC2	𒫂	12C1D	𒰝	UBI~c	UBI~c	UBI-C	UBI-C	o0902230
12AC3	𒫃	F304E	󳁎	UBI~d		UBI-D		o0902232
12AC4	𒫄	12C1F	𒰟	UD₅~a	UD₅~a	UD5-A	UD5-A	o0902234
12AC5	𒫅	12C20	𒰠	UD₅~a@g	UD₅~a@g	UD5-A GUNU	UD5-A GUNU	o0902241
12AC6	𒫆	12C23	𒰣	UD₅~b	UD₅~b	UD5-B	UD5-B	o0902237
12AC7	𒫇	12C24	𒰤	UD₅~c	UD₅~c	UD5-C	UD5-C	o0902238
12AC8	𒫈	12C25	𒰥	UDU~a	UDU~a	UDU-A	UDU-A	o0902243
12AC9	𒫉	12C26	𒰦	|UDU~a×TAR~a|	|UDU~a×TAR~a|	UDU-A TIMES TAR-A	UDU-A TIMES TAR-A	o0902247
12ACA	𒫊	12C27	𒰧	|UDU~a×TAR~b|	|UDU~a×TAR~b|	UDU-A TIMES TAR-B	UDU-A TIMES TAR-B	o0902248
12ACB	𒫋	12C29	𒰩	UDU~c	UDU~c	UDU-C	UDU-C	o0902245
12ACC	𒫌	12C2A	𒰪	UDUNITA~a	UDUNITA~a	UDUNITA-A	UDUNITA-A	o0902250
12ACD	𒫍	12C2B	𒰫	UDUNITA~b	UDUNITA~b	UDUNITA-B	UDUNITA-B	o0902251
12ACE	𒫎	12C2C	𒰬	UDUNITA~c	UDUNITA~c	UDUNITA-C	UDUNITA-C	o0902252
12ACF	𒫏	12C2E	𒰮	UH₃~a	UH₃~a	UH3-A	UH3-A	o0902256
12AD0	𒫐	12C2F	𒰯	UH₃~a@t	UH₃~a@t	UH3-A TENU	UH3-A TENU	o0902259
12AD1	𒫑	12C30	𒰰	UH₃~b	UH₃~b	UH3-B	UH3-B	o0902257
12AD2	𒫒	12C31	𒰱	UKKIN~a	UKKIN~a	UKKIN-A	UKKIN-A	o0902261
12AD3	𒫓	12C33	𒰳	UKKIN~b	UKKIN~b	UKKIN-B	UKKIN-B	o0902263
12AD4	𒫔	12C34	𒰴	|UKKIN~b×DIN|	|UKKIN~b×DIN|	UKKIN-B TIMES DIN	UKKIN-B TIMES DIN	o0902268
12AD5	𒫕	12C35	𒰵	|UKKIN~b×(DIN.1(N01))|	|UKKIN~b×(DIN.1(N01))|	UKKIN-B TIMES DIN PLUS ONE-N1	UKKIN-B TIMES DIN PLUS ONE-N1	o0902270
12AD6	𒫖	12C36	𒰶	|UKKIN~b×HI@g~a|	|UKKIN~b×HI@g~a|	UKKIN-B TIMES HI GUNU-A	UKKIN-B TIMES HI GUNU-A	o0902274
12AD7	𒫗	12C37	𒰷	|UKKIN~b×NI~a|	|UKKIN~b×NI~a|	UKKIN-B TIMES NI-A	UKKIN-B TIMES NI-A	o0902282
12AD8	𒫘	12C39	𒰹	|UKKIN~b×2(N01)|	|UKKIN~b×2(N01)|	UKKIN-B TIMES TWO-N1	UKKIN-B TIMES TWO-N1	o0902276
12AD9	𒫙	12C3A	𒰺	|UKKIN~b×3(N01)|	|UKKIN~b×3(N01)|	UKKIN-B TIMES THREE-N1	UKKIN-B TIMES THREE-N1	o0902278
12ADA	𒫚	12C3B	𒰻	|UKKIN~b×5(N01)|	|UKKIN~b×5(N01)|	UKKIN-B TIMES FIVE-N1	UKKIN-B TIMES FIVE-N1	o0902280
12ADB	𒫛	12C3D	𒰽	UKKIN~c	UKKIN~c	UKKIN-C	UKKIN-C	o0902265
12ADC	𒫜	12C3E	𒰾	UMBIN~a	UMBIN~a	UMBIN-A	UMBIN-A	o0902286
12ADD	𒫝	12C3F	𒰿	UMBIN~b1	UMBIN~b1	UMBIN-B1	UMBIN-B1	o0902287
12ADE	𒫞	12C40	𒱀	UMBIN~b2	UMBIN~b2	UMBIN-B2	UMBIN-B2	o0902288
12ADF	𒫟	12C41	𒱁	UMBIN~c	UMBIN~c	UMBIN-C	UMBIN-C	o0902289
12AE0	𒫠	12C42	𒱂	UMUN₂	UMUN₂	UMUN2	UMUN2	o0902290
12AE1	𒫡	12C44	𒱄	UNUG~a	UNUG~a	UNUG-A	UNUG-A	o0902293
12AE2	𒫢	12C47	𒱇	|UNUG~a×A@t|	|UNUG~a~v1×A@t|	UNUG-A TIMES A TENU	UNUG-A VARIANT 1 TIMES A TENU	o0902298
12AE3	𒫣	12C45	𒱅	UNUG~a@s	UNUG~a@s	UNUG-A SHESHIG	UNUG-A SHESHIG	o0902300
12AE4	𒫤	12C48	𒱈	UNUG~b	UNUG~b	UNUG-B	UNUG-B	o0902295
12AE5	𒫥	12C49	𒱉	UNUG~c	UNUG~c	UNUG-C	UNUG-C	o0902296
12AE6	𒫦	12C4A	𒱊	UR~a	UR~a	UR-A	UR-A	o0902302
12AE7	𒫧	12C4C	𒱌	UR~a@g	UR~a@g	UR-A GUNU	UR-A GUNU	o0902308
12AE8	𒫨	12C4D	𒱍	UR~b	UR~b	UR-B	UR-B	o0902303
12AE9	𒫩	12C4E	𒱎	UR~c	UR~c	UR-C	UR-C	o0902304
12AEA	𒫪	12C4F	𒱏	UR₂	UR₂	UR2	UR2	o0902309
12AEB	𒫫	12C50	𒱐	|UR₂×TAR~c|	|UR₂×TAR~c|	UR2 TIMES TAR-C	UR2 TIMES TAR-C	o0902311
12AEC	𒫬	12C51	𒱑	|UR₂×1(N57)|	|UR₂×1(N57)|	UR2 TIMES ONE-N57	UR2 TIMES ONE-N57	o0902310
12AED	𒫭	12C52	𒱒	UR₃~a1	UR₃~a1	UR3-A1	UR3-A1	o0902313
12AEE	𒫮	12C54	𒱔	UR₃~a2	UR₃~a2	UR3-A2	UR3-A2	o0902315
12AEF	𒫯	12C55	𒱕	UR₃~a3	UR₃~a3	UR3-A3	UR3-A3	o0902316
12AF0	𒫰	12C56	𒱖	UR₃~b1	UR₃~b1	UR3-B1	UR3-B1	o0902317
12AF1	𒫱	12C58	𒱘	UR₃~b2	UR₃~b2	UR3-B2	UR3-B2	o0902318
12AF2	𒫲	12C59	𒱙	UR₄~a	UR₄~a	UR4-A	UR4-A	o0902323
12AF3	𒫳	12C5A	𒱚	UR₄~b	UR₄~b	UR4-B	UR4-B	o0902324
12AF4	𒫴	12C5B	𒱛	UR₄~c	UR₄~c	UR4-C	UR4-C	o0902325
